iIssueId,Resumen,GPT4,labels,modificacion,inconcluso
17558,"Se solicitó apoyo para ajustar los procesos de dispersión a proveedores, donde se detectaron problemas con los importes a dispersar a cada proveedor y con el estatus de los pagos. Tras realizar los ajustes necesarios, se validó el funcionamiento en producción y se notificó al cliente. Se realizaron múltiples ajustes a lo largo del tiempo para garantizar que los procesos funcionaran correctamente, incluyendo cambios en los estatus de los pagos y la visualización de referencias en los archivos generados.",No,"pagos a proveedor, procesos automaticos",Sí,No
17559,"Se solicitó apoyo para resolver un error en el proceso ZELL al intentar generar lotes de movimientos y cargar archivos de actualización de motivos de no pago. Tras revisar y corregir el problema, se confirmó que el proceso había sido resuelto con éxito. Se cerró el ticket una vez validada la solución por parte del cliente.",No,"error, procesos automaticos",Sí,No
17560,"Se planteó una duda sobre una liquidación anticipada de un crédito que generaba una alerta en la lista de movimientos. Tras analizar el caso, se determinó que la alerta se debía a un pago posterior a la liquidación que activaba una regla específica. Se propuso desarrollar una nueva regla para evitar futuras alertas. Tras varias revisiones y ajustes, se decidió mantener la regla original y cerrar el ticket al confirmar que no era necesario realizar cambios adicionales.",No,"liquidación anticipada, reglas de alerta, pagos, fechas, configuración",No,No
17561,"Se solicitó la sustitución de una tarjeta TOKA, donde se debía registrar la nueva tarjeta y bloquear la anterior. Tras realizar las validaciones necesarias y ajustes en el proceso, se logró implementar con éxito la funcionalidad solicitada. Se cerró el ticket una vez confirmada la correcta operación en producción y la facturación correspondiente.",No,"tarjeta, cambio, disponible, registro, bloqueo",No,No
17562,"El ticket se originó como una solicitud de revisión de la clave UP en un crédito que causaba quebranto por defunción, ya que no aparecía la observación en el reporte de buró del mes. Tras una serie de interacciones, se identificó que el motivo correcto no se había colocado, lo que llevó a la modificación del motivo directamente desde la cancelación generada. Finalmente, se ajustó el motivo de cancelación para el crédito 20454, se notificó al cliente y se validó en producción sin comentarios adicionales.",No,"comisiones, relación, planes, promotores",No,No
17563,"El ticket reportaba que la activación manual de créditos no estaba funcionando. Se actualizó la rutina para asignación de fecha de primer pago para que tomara en cuenta la regla configurada en ambos ambientes, solucionando así el problema reportado.",No,"activación manual, procesos automáticos",Sí,No
17564,"En este ticket se solicitó relacionar el plan de comisiones COM01 a todos los promotores en un entorno de prueba. Tras la intervención de los responsables, se logró realizar la relación solicitada y se notificó al cliente, confirmando la correcta ejecución de la tarea.",No,"relación, dependencia, producto, configuración",No,No
17565,"La solicitud requería el apoyo para validar el motivo del error en las tablas de amortización de varios créditos, así como realizar los ajustes necesarios en las fechas correspondientes. Tras identificar inconsistencias en las tablas de amortización en producción, se solicitó corregirlas y se notificó a Karla C sobre casos específicos que requerían atención adicional.",No,"tablas de amortización, errores, pruebas, reglas de primer pago",Sí,No
17566,"En este ticket se buscaba resolver un problema donde el sistema no permitía capturar el producto en una solicitud específica. Tras identificar que el producto NOM0007 estaba siendo utilizado en otros contextos, se explicó al cliente la razón por la cual no se mostraba como producto financiero en las solicitudes. Tras realizar ajustes, se confirmó que el producto aparecía correctamente en el sistema.",No,"usuario anónimo, contraseña, configuración",No,No
17567,"Se solicitó la relación de comisiones con promotores para más de 600 asesores, se adjuntó una matriz para relacionar vendedores con planes de comisiones. Se programó una conferencia para explicar detalles importantes. Se eliminaron planes de comisiones existentes y se cargaron nuevos de acuerdo a archivos específicos. Se validaron relaciones con asesores y se solicitó la eliminación de catálogo y relaciones en producción antes de liberarlo. Finalmente, se cerró el ticket al confirmar la validación de las relaciones.",No,"comisiones, relación, convenio, errores",Sí,No
17568,"Se reportó una diferencia en un pago referenciado, se detectó un proceso atorado que duplicaba movimientos. Tras corregirlo, se validó la corrección y se cerró el ticket.",No,"diferencia de pago, auditoría, validación",No,No
17569,"Se solicitó revisar las pólizas de créditos del día 4 de noviembre, pero el cliente confirmó posteriormente que funcionaban correctamente, por lo que se canceló el ticket.",No,"modificación, servicio, cotización, tiempo de entrega",Sí,No
17570,Se reportaron errores en el envío automático de reportes de primer pago y auditoría. Se brindaron instrucciones para descargar el reporte de primer pago y se corrigió el nombre del archivo del reporte de auditoría. Se revisó la ejecución automática y se cerró el ticket al confirmar la ejecución exitosa.,No,"cambio, producto financiero, solicitud, importe",No,No
17571,Se solicitó ayuda para que el usuario anónimo no aplique la regla de caducidad de contraseña. Se realizaron interacciones relacionadas con una cotización y se cerró el ticket tras confirmar que se podía cerrar.,No,"error, relación, comisiones, convenio",Sí,No
17572,"El ticket se originó como un requerimiento para cambiar un producto financiero en una solicitud, ya que el importe estaba en ceros a pesar de tener un importe de capital. Tras la intervención de ISIS y Paco, se actualizó la información solicitada, se resolvieron los temas operativos cancelando el crédito y corrigiendo la captura en la solicitud. Finalmente, se confirmó que el contrato fue dispersado y activado correctamente en el sistema.",No,"fórmula de liquidación, tránsitos, créditos, reestructuras",Sí,No
17573,"Se reportó un error al relacionar comisiones por convenio, donde al agregar varios planes de comisiones, se modificaba al convenio que tenía el último plan agregado al promotor. Tras la intervención de ALFREDO y ALEJANDRO, se corrigió el problema tanto en producción como en pruebas, validando que la modificación se realizó de manera exitosa.",No,"error, relación, comisiones, convenio",Sí,No
17574,"En este ticket se solicitó fijar una fórmula de liquidación que no consideraba tránsitos para los créditos a reestructurar. ISIS envió un correo para validar la fórmula y con el apoyo de Paco se ajustó la fórmula según el requerimiento. Posteriormente, se confirmó que los cálculos de liquidación anticipada se estaban realizando correctamente, generando el cálculo diario de interés de acuerdo al requerimiento.",No,"fórmula de liquidación, tránsitos, créditos, reestructuras",Sí,No
17575,"Se trató de un requerimiento para modificar el servicio zcaRenovation, el cual ya había sido validado y autorizado con el usuario final. Tras una serie de interacciones entre ISIS, ALEJANDRO y FRANCISCO, se completó el requerimiento, se asignaron unidades, se realizaron pruebas en diferentes ambientes y finalmente se logró la liberación a producción luego de varias validaciones y ajustes.",No,"modificación, servicio, cotización, tiempo de entrega",Sí,No
17576,"El ticket involucró una carga masiva de cartera Unicredix, donde se verificaron los Layouts de migración y se detectó un error al ejecutar el proceso de integración. Tras la intervención de KARLA, ISIS, ALEJANDRO y ALFREDO, se corrigió el error, se realizaron pruebas en diferentes ambientes, se autorizó la cotización y finalmente se logró la liberación a producción luego de varias validaciones y ajustes.",No,"carga masiva, layout migración, pruebas, cotización, integración, errores en sistema",Sí,No
17577,"Se solicitó agregar en el reporte de cartera la composición de moratorios, sumarle el IVA a los campos correspondientes, y corregir los campos incorrectos. Tras múltiples interacciones y ajustes en las cotizaciones, se agregaron las columnas en pruebas para validación. Sin embargo, al generar el reporte, quedaba pasmado en estatus de inicio. Tras correcciones y agregado de columnas faltantes, se liberó el reporte en producción, pero surgieron observaciones adicionales que requirieron ajustes posteriores.",No,"ajuste reporte, cartera, moratorios, saldo insoluto, errores en sistema",Sí,No
17578,"Se solicitó ayuda para generar el archivo Buro PF, el cual se quedó colgado en ambiente de pruebas. Tras ejecutar el proceso desde SQL, se adjuntó el archivo de salida y se envió al cliente. Posteriormente, se solicitó validar el archivo generado, pero al no recibir respuesta, se procedió a cerrar el ticket.",No,"generar archivo, buro pf, error en sistema",No,No
17579,"Se planteó la necesidad de identificar pagos ya publicados para evitar duplicidad en la publicación. Tras diversas interacciones y ajustes en la configuración de los orígenes de pagos, se logró establecer un proceso que excluyera los pagos marcados con un origen específico de la publicación a CR. Tras pruebas y ajustes, el ticket fue liberado a producción.",No,"publicación pagos, circulo de crédito, errores en sistema",No,No
17580,"Se reportó un error en las consultas de score en el servicio de Circulo de Crédito. Tras identificar que el problema residía en el lado de Circulo de Crédito, se procedió a solucionar la incidencia, restableciendo el funcionamiento normal de las consultas.",No,"configuración póliza, créditos nuevos, base de datos, test",No,No
17581,"Se solicitó recuperar la configuración de la póliza de ""créditos nuevos"" que fue accidentalmente borrada. Tras verificar que la póliza existía en la base de datos de pruebas, se procedió a cargarla nuevamente para su revisión y posterior replicación en producción. Tras confirmar la similitud con la configuración previa, el ticket fue cerrado.",No,"consulta circulo de crédito, error en sistema, actualización de url",Sí,No
17582,"Se reportó una falla en el proceso de consulta a círculo de crédito, arrojando un mensaje de error ""5 The request failed with HTTP status 504: Gateway Timeout"". Tras varias interacciones y ajustes, se actualizó el servicio de consulta con un certificado SSL, lo que resolvió el problema. El cliente confirmó que el tema quedó resuelto y se procedió a cerrar el ticket.",No,"consulta circulo de crédito, error en sistema, actualización de url",Sí,No
17583,"Se presentó un error al generar archivos de domiciliación, donde uno de los archivos arrojaba dos layouts con diferente cantidad de registros pero mismos datos. Tras ajustes al proceso, se confirmó que el proceso de generación de archivos de domiciliación ya funciona correctamente, resolviendo así el problema reportado.",No,"error, procesos automaticos, bbva, banorte, archivos, layout",Sí,No
17584,"Se identificó una incidencia en el proceso de análisis de créditos de garantía VIVALIA, donde los créditos se quedaban en estado ""Integrando"" y requerían un reanálisis manual para avanzar. Tras diversas pruebas, ajustes y monitoreo, se corrigió el problema al ajustar la fecha de amortización en el análisis automático, logrando que los créditos pasaran a mesa de control sin inconvenientes.",No,"procesos automaticos, análisis de crédito, vivalia",No,No
17585,"Se solicitó revisar el orden de los créditos en la pantalla de consulta, donde se observó un desorden en la visualización. Tras confirmar que no existe un orden específico y que es determinado por SQL, se procedió a cotizar el desarrollo solicitado. Sin embargo, el desarrollo no fue aprobado, generando la necesidad de buscar alternativas.",No,"configuración, orden de los créditos",No,Sí
17586,"Se reportaron inconsistencias en las políticas forzosas, donde en algunos casos se eliminaba la opción de autorizar al realizar varios intentos. Tras investigar y solicitar casos específicos, no se enviaron nuevos casos para revisión, quedando pendiente la resolución de las inconsistencias reportadas.",No,"políticas de seguridad, configuración, seguridad",Sí,No
17587,"Se reportó un error al descomprimir el archivo RAR GoCredit descargado de la ruta http://gocredit.zell.mx/downloads/Gocredit.rar, debido a un mensaje de error en la suma de control del fichero cifrado. Tras regenerar el RAR y descargarlo nuevamente, el problema se solucionó. Se sugirió verificar la contraseña de descompresión. El ticket se cerró con éxito.",No,"error, archivos, bbva",Sí,No
17588,"Se solicitó ingresar el calendario de instalación por convenio en el sistema, generando un archivo de altas por afiliado para las instalaciones. Se planteó la posibilidad de programar recordatorios para las instalaciones y generar archivos automáticamente para las dependencias. Tras revisar el tema de calendario de cobranza, se decidió cerrar el ticket y continuar solo con el de instalación.",No,"configuración, calendarios, instalación",No,Sí
17589,"Se reportó un error en las consultas a círculo debido a un cambio en la URL del WSDL. Tras una actualización del servicio para utilizar el certificado SSL implementado por Círculo de Crédito, se solucionó el problema. Se autorizó el desarrollo y se asignó una fecha estimada de entrega. El ticket se cerró con éxito tras confirmar la actualización del servicio.",No,"error, conexiones, círculo de crédito, ssl",Sí,No
17590,"Se solicitó apoyo con la renovación del crédito 31460 que mostraba un saldo negativo de -67.13. Se requirió retroalimentación sobre si se llevó a cabo correctamente el proceso de renovación y el motivo del saldo negativo. Sin embargo, no se proporcionaron más detalles ni seguimiento al ticket.",No,"error, reportes, cobranza, datos",Sí,No
17591,"Se solicitó apoyo con una incidencia en la tabla de amortización del crédito 573037, donde no se respetó el periodo de gracia configurado en la promoción SHFPT_24MG. Se informó que el ticket 17594 estaba dando seguimiento a este problema, sin más actualizaciones en este ticket.",No,"configuración, periodo de gracia, crédito",No,No
17592,"El ticket se originó como una incidencia reportada por el cliente sobre el reporte ""Quebrantos Datos Cobranza"" que estaba tardando entre 3.5 y 4 horas en generarse, cuando anteriormente tardaba solo 1 minuto. Tras varias interacciones y sugerencias de programar el proceso por la noche para evitar conflictos con otros procesos, se logró resolver la situación. Finalmente, el ticket fue cerrado con la confirmación de que el problema fue solucionado.",No,"archivos, proveedores, bbva, pagos",Sí,No
17593,"Este ticket se originó como una solicitud para activar un servicio de callback de pagos de manera automática, sin incluir el histórico de meses anteriores. Tras diversas interacciones, ajustes en la cotización y pruebas, se identificó un error en la comunicación con el servicio externo, que requirió cambios en el método de solicitud. A pesar de múltiples intentos de solución, el ticket permaneció abierto debido a discrepancias en la cotización y la necesidad de ajustes adicionales.",No,"procesos automaticos, callback, pagos",Sí,No
17594,"En este ticket se reportó una incidencia con un crédito que no respetaba el periodo de gracia configurado en la promoción. A pesar de múltiples revisiones y comparaciones con otros productos, no se logró identificar la causa del problema. Se sugirió configurar el producto desde cero para solucionar la situación, pero al no recibir respuesta del solicitante, se decidió cancelar el ticket.",No,"configuración, periodo de gracia, crédito",No,Sí
17595,"El ticket se originó como una solicitud para regresar el estatus de dos solicitudes de compra de deuda a ""por formalizar"" con el fin de corregir un error en el proceso de alta de proveedores BBVA interbancario. Tras realizar ajustes y eliminar registros, se logró resolver la situación y el ticket fue cerrado con éxito.",No,"proveedores, bbva, archivos, pagos",Sí,No
17596,"En este ticket se solicitó apoyo con errores en los Web Services Gadget de Factor para ti. Tras identificar un mensaje de error específico en la respuesta de un método y problemas con la visualización de imágenes en Zell, se realizaron pruebas adicionales y se logró solucionar el problema. El ticket fue cerrado con la confirmación de que los errores fueron corregidos.",No,"zell web service, gadget, error, imágenes, consulta, respuesta, ws",No,No
17597,"Se solicitó un cambio de número de tarjeta de crédito para el crédito 107 en Zell. Se autorizó el cambio y se agregó la nueva tarjeta 2308680126964372, inactivando la anterior 2308680161704287. El cliente confirmó el cambio y agradeció el apoyo.",No,"cambio de número de tarjeta, crédito, autorización, cliente, tarjeta de crédito",No,No
17598,"Se solicitó modificar el producto seleccionado para la solicitud 34039, cambiándolo al 0163000B96 - COVID19 EDUACION MICHOACAN. El cambio fue realizado y validado por el cliente, agradeciendo el apoyo brindado.",No,"producto equivocado, solicitud, modificación, producto financiero, ajuste",Sí,No
17599,"Se solicitó agregar un botón para comentarios internos en perfiles específicos. Tras varias actualizaciones y validaciones, se implementó el botón en la pantalla de Trabajar Solicitudes. Finalmente, se confirmó la aprobación y se liberó a producción.",No,"comentarios, perfil de usuario, desarrollo, pantallas, requerimiento, unidades",Sí,No
17600,"Se reportó que la política de monto mínimo y máximo no se validaba correctamente en la solicitud 1971. Tras revisar y ajustar la configuración, se solucionó el problema en test y producción, validado por el cliente.",No,"política, monto mínimo, monto máximo, validación, etapas",Sí,No
17601,"Se solicitó apoyo para habilitar los permisos de capturista a un nuevo usuario, JCardenas. Tras realizar pruebas y ajustar el idioma, se validó el acceso y el usuario pudo capturar solicitudes correctamente. Agradecieron el apoyo brindado.",No,"comentarios, perfil de usuario, desarrollo, pantallas, requerimiento, unidades",Sí,No
17602,"Se solicitó ayuda para actualizar la clasificación de estados de cobranza en FPT test. Se habilitó el proceso para el perfil Administrador y se configuró la clasificación de cobranza de acuerdo con los rangos enviados. Posteriormente, se copió la configuración al ambiente de producción y se validó, confirmando que todo estaba correcto.",No,"estados de cobranza, configuración, pruebas, producción, validación",Sí,No
17603,"Se solicitó ayuda para obtener el error completo al realizar la consulta de círculo. Se realizaron ajustes en el servicio para utilizar el certificado SSL, se enviaron cotizaciones, se realizaron ajustes en la configuración del servicio y se concluyeron las pruebas, quedando todo habilitado nuevamente.",No,"error, consulta, círculo de crédito, actualización, configuración",Sí,No
17604,"Se reportaron errores al enviar solicitudes a CR, solicitando poder enviarlas tantas veces como sea necesario. Se aclaró que el sistema permite enviar las solicitudes sin límites y que la recepción al día siguiente se debe a la disponibilidad de CR. Finalmente, al no presentarse más casos, se propuso cerrar el ticket hasta detectar nuevamente el error.",No,"requisitos, asignación, financiamiento, vendedores, reporte",No,No
17605,"Se solicitó ayuda para quitar el paquete de requisitos de ciertos productos financieros. Se realizó la acción solicitada, se verificó que los productos estuvieran sin paquete de requisitos y se confirmó la validación por parte del cliente.",No,"activación de crédito, error, dispersión, bitácora, validación",Sí,No
17606,"Se solicitó apoyo para realizar una nueva parametrización de ciclo de otorgamiento de crédito por etapas. Se revisaron observaciones y recomendaciones sobre la estructura de las etapas, se realizaron pruebas y ajustes en la configuración del proceso, y se ofreció apoyo adicional en caso de ser necesario.",No,"etapas de originación, configuración, validación, documentos, políticas",Sí,No
17607,"Se solicitó la cotización del reporte ""Catálogo de Vendedores"" para BI. Tras validaciones y autorizaciones, se habilitó el reporte en ambiente de pruebas y posteriormente en producción para el perfil Administrador. Finalmente, se solicitó la factura del desarrollo, la cual fue proporcionada con éxito.",No,"presupuesto, reporte, catálogo de vendedores, desarrollo, cotización",Sí,No
17608,"Se requirió apoyo para activar el crédito 40150, el cual presentaba problemas para su activación. Tras realizar ajustes y notificar al cliente, se logró activar exitosamente el crédito, cambiando su estatus a ""PEND COBRO BANCO"". Se confirmó la activación y se solicitó la encuesta de conclusión.",No,"error, alta de persona, configuración, vista compatibilidad",Sí,No
17609,"Se reportó una incidencia con el crédito 34047 que se activó automáticamente en lugar de pasar a ""Por dispersar"". Tras corregir el estatus del crédito y ajustar el procedimiento interno, se logró cambiar su estatus a ""Por dispersar"" y se programó su dispersión para el día siguiente.",No,"crédito, activación, tipo de disposición, stp, por dispersar",Sí,No
17610,"Se solicitó apoyo debido a un error al dar de alta a una persona en el sistema, el cual estaba relacionado con la configuración del explorador. Tras identificar la causa del problema y configurar la opción de ""Vista Compatibilidad"", se resolvió con éxito el inconveniente.",No,"error, alta de persona, rh, configuración, error 70001",No,No
17611,"Se informó sobre la imposibilidad de generar el reporte de Círculo de Crédito debido a una actualización en su web service. Tras realizar ajustes y obtener la autorización, se actualizó el servicio para FCAPITAL, solicitando la validación correspondiente y la factura del servicio prestado.",No,"actualizacion de test, círculo de crédito",Sí,No
17612,"El ticket se originó como un requerimiento para agregar la opción de filtrar por convenio en la configuración de usuarios. Tras varias pruebas en ambiente de pruebas, se identificó que el filtro por convenio no estaba funcionando correctamente, mostrando todos los convenios en lugar de los específicos. Después de algunas interacciones entre los usuarios y el equipo de desarrollo, se logró implementar la opción de filtro por convenio en producción, validando su correcto funcionamiento y cerrando el ticket de manera satisfactoria.",No,perfil de usuario,No,No
17613,"En este ticket, se reportó un movimiento de prorroga erróneo que requería ser revertido. Al no existir una herramienta para revertir la prorroga por parte del usuario, se decidió realizar ajustes manuales para corregir la situación, eliminando la prorroga incorrecta y volviendo a procesarla de manera adecuada, finalizando así el ticket de forma exitosa.",No,procesos automaticos,Sí,No
17614,"El ticket inició con una solicitud para revisar la configuración de las pantallas que al grabar o cerrar, cambiaban la URL de https a http. Tras identificar que el problema se debía a un sitio sin certificado, se procedió a dar de baja dicho sitio, lo que permitió corregir la situación y garantizar la navegación segura en el sistema. Una vez confirmada la corrección, se cerró el ticket con éxito.",No,seguridad,Sí,No
17615,"En este ticket se reportó un error al intentar enviar una solicitud a CR, que resultó ser un problema del servicio de CR y no de Zell. Tras confirmar que el error estaba del lado de CR, se solicitó a la usuaria validar la resolución del problema, confirmando que el tema había sido resuelto y cerrando el ticket de manera satisfactoria.",No,procesos automaticos,No,No
17616,"El ticket surgió a raíz de un problema al intentar realizar consultas para créditos domiciliados debido a una actualización en el servicio de circulo de crédito. Tras identificar la causa del error y proponer una solución que implicaba ajustes en la configuración del servicio y la instalación de un certificado SSL, se logró restablecer la conexión y garantizar el funcionamiento correcto de las consultas, cerrando el ticket con éxito tras la validación correspondiente.",No,"webservices, ssl",Sí,No
17617,"Se solicitó cambiar la cuenta de Persona Física a Persona Moral para el cliente GRUPO PULL UP SAPI DE CV. Tras realizar el ajuste, se notificó al cliente y se confirmó que el cambio fue validado por Luis Alcaraz.",No,"configuración, procesos automaticos",No,No
17618,"Se reportó una incidencia donde las solicitudes de un grupo se estaban aperturando con una tasa de interés de 0. Después de revisar el caso, se canceló el grupo y se solicitó un diagnóstico para evitar que el problema se repita en futuros grupos.",No,"reporte, configuración",Sí,No
17619,"Se identificó un error en el proceso de cierre que mostraba el mensaje ""Could not find store procedure"". Tras monitorear y confirmar que el cierre nocturno se ejecutaba correctamente, se determinó que el problema fue resuelto.",No,error,Sí,No
17620,"Se informó sobre un problema al generar la etiqueta PAGARÉ en documentos, donde no se mostraba la cantidad correspondiente. Posteriormente, se solucionó la incidencia y se solicitó hacer caso omiso a la notificación.",No,"configuración, documentos",No,No
17621,"Se reportó una incidencia en el proceso ""Genera Reintentos Domiciliación"" donde los importes de los créditos no correspondían al generar la lista. Tras corregir el problema en producción, se confirmó que la incidencia fue resuelta satisfactoriamente.",No,procesos automaticos,Sí,No
17622,"El ticket se originó por una incidencia en la liquidación de paquetes de refinanciamientos, donde no se estaba abonando correctamente el capital al crédito original. Tras varios intercambios de correos, se identificó que la forma de liquidación seleccionada en el paquete 732 era incorrecta. Finalmente, se corrigió la forma de liquidación y se cerró el caso.",No,"configuración, procesos automaticos",Sí,Sí
17623,"El ticket se abrió para agregar campos al reporte de Pagos PLD, donde se solicitaba la inclusión de la edad del cliente en números enteros y la visualización del ""tipo de crédito"". Tras varios pasos de desarrollo, validación y autorización, se agregaron las columnas al reporte en producción y se cerró el ticket con éxito.",No,"bitácora, configuración",Sí,No
17624,"En este ticket se reportó una situación donde operaciones con DAP's asignados llegaron incorrectamente, cuando debían ser asignados por otro departamento. Tras investigar y no encontrar novedades, se decidió cerrar el ticket al no haber más información disponible.",No,"pagos, publicaciones crz",Sí,No
17625,"El ticket se abrió para habilitar un proceso de clasificación manual en el sistema, donde se presentaron errores iniciales que fueron corregidos. Tras habilitar el proceso en pruebas y validar que funcionaba correctamente, se confirmó que el proceso se implementó con éxito.",No,"clasificaciones, procesos automaticos",Sí,No
17626,"En este ticket se solicitó configurar nuevas clasificaciones (buckets) relacionadas al Tipo de Financiamiento Grupal en el sistema. Tras varias interacciones para revisar y validar los cambios, se identificó la posible causa de que los créditos grupales no estuvieran en el clasificador correcto. Se espera la definición de buckets de otros Tipos de Financiamiento para completar la configuración.",No,"configuración, clasificaciones",No,No
17627,"Se reportó una incidencia en la carga de promotores donde, a pesar de que el proceso marcaba éxito, no se guardaba el registro en el catálogo de vendedores. Tras corregir la estructura del layout, realizar una carga exitosa y validar con el usuario final, se notificó que el campo de RFC era obligatorio. Finalmente, se confirmó que la carga se realizó correctamente y se cerró el ticket.",No,procesos automaticos,Sí,No
17628,"Se planteó un caso de un cliente con un pago anulado que no se publicó correctamente en CR. Tras considerar aplicar un pago negativo o modificar las publicaciones, se optó por aplicar pagos negativos sin necesidad de anular. Luego de realizar los ajustes necesarios y validar con el cliente, se logró corregir el problema y cerrar el ticket.",No,pagos,Sí,Sí
17629,"Se detectaron incidencias en el cálculo de pagos en un convenio de IMSS, donde no se respetaba la política configurada. Tras revisar y ajustar configuraciones, validar políticas y cálculos, y realizar pruebas con cotizadores, se logró corregir las diferencias y asegurar que los cálculos fueran correctos. Finalmente, se concluyó que no había más incidencias y se cerró el ticket.",No,"configuraciones, cotizador, errores, actualizacion de test",Sí,No
17630,"Se reportó la falta de dos columnas en un reporte de auditoría de cobranza. Tras agregar las columnas faltantes, validar y notificar al cliente, se confirmó que la actualización fue exitosa y se cerró el ticket.",No,"reporte, auditoría",Sí,No
17631,"Se identificó una duplicidad en la visualización de solicitudes al filtrar por vendedor en la pantalla correspondiente. Tras investigar y resolver el problema específico con los vendedores 01 y 28087, se logró corregir la duplicidad y confirmar que todo funcionaba correctamente, cerrando así el ticket.",No,"duplicidad, visualización, pantalla",No,No
17632,"Se solicitó ayuda para revisar la configuración de un proceso que generaba un reporte con parámetros de financiamiento. Se requería agregar filtros por tipo de financiamiento a los procesos configurados. Se aclaró que los tipos de financiamiento se relacionarían al proceso y la ejecución tomaría esos valores, no sería en pantalla. Se adjuntó cotización al requerimiento de los procesos, pero se mantuvo pendiente la autorización.",No,"reportes, procesos automáticos",Sí,Sí
17633,"Se solicitó la cotización del servidor exclusivo y la VPN física para lograr la conexión de Zell con STP. Se planteó la duda sobre si se necesitaría una cotización por cada instancia de uso. Se confirmó que solo sería necesario la VPN física y se mantuvo la revisión de la cotización pendiente, priorizando otros requerimientos.",No,"implementación stp, cotización",No,Sí
17634,Se solicitó cambiar el estatus del ticket 17589 de MTN que fue cerrado por error. Se realizó la corrección del estatus solicitado y se validó que quedara correctamente.,No,modificación en sistema,Sí,No
17635,"Se solicitó el cambio manual del tipo de disposición de un folio que fue seleccionado erróneamente como STP en lugar de CLABE. Se brindó la forma de solventar el inconveniente cambiando el tipo de disposición directamente sobre el crédito, advirtiendo sobre posibles confusiones en el proceso de dispersión. No hubo comentarios adicionales después de la solución propuesta.",No,cambio de tipo de disposición,Sí,No
17636,Se solicitó la cotización de reportes adicionales para auditoría de migración. Se acordó hablar con Gustavo para proponer validaciones que permitieran definir los reportes. Se mencionó que el reporte en cuestión debía ser definido por MDI y se envió un resumen de tickets abiertos a Elias y Gustavo.,No,"reportes, actualizacion de test",Sí,Sí
17637,"Se reportó un error en el servicio zle14 con la solicitud 1128262, donde no se reflejaba la información de a quién se le prestó. Tras varias interacciones, se identificó que los movimientos debían ser corregidos, lo cual se realizó con éxito. Finalmente, se solicitó al cliente validar la corrección y se procedió al cierre del ticket.",No,"errores, actualizacion de test",Sí,No
17638,"Se detectó que las solicitudes de Unicredix CD de México mostraban un monto autorizado de $0.00, lo cual generó dudas sobre la información enviada a UCX. Tras diversas revisiones y comunicaciones, se determinó que el campo de Monto Autorizado no se enviaba a través del WS, lo que explicaba la discrepancia. Se procedió a actualizar las solicitudes con el monto autorizado correspondiente y se cerró el ticket.",No,"formato, impresión, tablas de amortización",Sí,No
17639,"Se solicitó quitar las comillas del título del ticket 17506 para poder enviar la encuesta. Tras la intervención de Paco, las comillas fueron eliminadas con éxito, permitiendo el envío de la encuesta y la finalización del ticket.",No,modificación en sistema,Sí,No
17640,"Se planteó la necesidad de generar un formato para imprimir tablas de amortización en AXS. Tras un proceso de desarrollo y revisión, se habilitó un reporte para mostrar la tabla de amortización de créditos, con la posibilidad de generarlo tanto para créditos existentes como para solicitudes nuevas. Tras validar la estructura de la tabla, se procedió a su implementación en producción y se cerró el ticket.",No,"formato, tablas de amortización",Sí,Sí
17641,"Se solicitó el desarrollo de un reporte de Dirección Comercial, el cual fue habilitado y configurado para el perfil administrador en producción. Tras diversas revisiones y ajustes, se logró satisfacer las necesidades del cliente, incluyendo la corrección de errores y la adición de nuevas columnas. Tras la validación final, el reporte fue liberado y se cerró el ticket.",No,"reporte, configuración, actualizacion de test",Sí,No
17642,"El ticket se originó por un reporte de comisiones que no generaba registros en el ambiente de producción, a pesar de funcionar correctamente en el ambiente de prueba. Tras investigar, se descubrió que los reportes habían sido borrados y se procedió a recuperarlos. Finalmente, se confirmó que el reporte volvió a funcionar correctamente desde el día anterior.",No,reporte,No,No
17643,"Se solicitó apoyo para generar un lote de pagos a Fimubac con movimientos adjuntos, debido a la importancia de publicarlos para temas de fondeo. Tras varios intentos y correcciones, se logró generar los lotes 779 y 782, enviando notificaciones para su validación. Finalmente, al no recibir más comentarios, se cerró el ticket con los lotes enviados.",No,procesos automaticos,Sí,No
17644,"La solicitud se originó por la necesidad de conocer el funcionamiento del proceso de carga de expedientes digitales para utilizarlo en la carga de documentos a solicitudes. Tras cotizar un proceso interno que habilita un FTP para subir documentos con un esquema específico, se procedió con la implementación mensual del servicio, enviando las credenciales de acceso al sitio FTP y solicitando la factura correspondiente.",No,configuración,Sí,No
17645,"Se solicitó apoyo para actualizar los datos en el ambiente de pruebas con urgencia para realizar pruebas al día siguiente. Tras la actualización realizada, se confirmó la finalización de la tarea y se procedió a cerrar el ticket con agradecimientos por el apoyo brindado.",No,actualizacion de test,Sí,No
17646,"La solicitud se originó por la necesidad de un formato específico para un nuevo convenio, incluyendo altas, bajas y reestructuras. Tras cotizar y desarrollar los formatos requeridos, se procedió con la asignación de unidades y se enviaron las cotizaciones correspondientes. Finalmente, se realizó un ajuste solicitado por el cliente y se procedió con el desarrollo del formato de altas únicamente.",No,configuración,Sí,No
